TOPIC,SUB TOPIC,TRANSCRIPT,LINKS,RELEVANCE,TIMESTAMP
,,"data-type,( name of the array ), size is equal to elements
example: here we have declared an 'integer array star' with size 3. The elements of the array are 1,2 and 3.
Here the index will start from star 0 to star 2.",http://stackoverflow.com/questions/4810664/how-do-i-use-arrays-in-c,SR,
,,"Here, we have declared and initialized an array star with size 3.",http://stackoverflow.com/questions/1335786/c-differences-between-char-pointer-and-array,SR,
,,"Here, we have declared and initialized an array star with size 3.",http://stackoverflow.com/questions/37538/how-do-i-determine-the-size-of-my-array-in-c,R,
,,"In this program, we will calculate the sum of the elements stored in an array.",http://stackoverflow.com/questions/8300888/calculating-the-sum-of-integers-in-an-array,R,
,,"Here, we have declared and initialized an array star with size 3.",http://stackoverflow.com/questions/16414622/array-initialization-c,R,
,,"Here, we have declared and initialized an array star with size 3.",http://stackoverflow.com/questions/201101/how-to-initialize-all-members-of-an-array-to-the-same-value,R,
,,"Now, we will see the initialization of an array.
The Syntax for this is:
data-type,( name of the array ), size is equal to elements
",http://stackoverflow.com/questions/42613267,IR,
,,"Let us see how to declare single dimensional array.
The Syntax for this is:
data-type name of the array and size",http://stackoverflow.com/questions/42613206,IR,
,,"Now, we will see the initialization of an array.
The Syntax for this is:
data-type,( name of the array ), size is equal to elements
",http://stackoverflow.com/questions/18688971/c-char-array-initialization,R,
,,Let us see how to declare single dimensional array. The Syntax for this is: data-type name of the array and size,http://stackoverflow.com/questions/42609561,IR,
,,"Now, we will see the initialization of an array. The Syntax for this is: data-type,( name of the array ), size is equal to elements",http://stackoverflow.com/questions/5678216/all-possible-c-sharp-array-initialization-syntaxes,SR,
,,This is because array index starts from 0.,http://stackoverflow.com/questions/15646973/how-dangerous-is-it-to-access-an-array-out-of-bounds,SR,
,,This is because array index starts from 0.,http://stackoverflow.com/questions/42611284,IR,
,,"In this program, we will calculate the sum of the elements stored in an array.",http://stackoverflow.com/questions/15801957/recursive-sum-of-an-array-in-c,SR,
,Working with 2D arrays,"Now, let us see how to declare 2 dimensional array.
 The Syntax for this is:
 data-type ,array name, row and column.",http://stackoverflow.com/questions/4409591/2d-array-initialisation-in-c,R,01:01-01:07
,,"The elements are stored row-wise.
 We have considered i for rows and j for columns.
 This for loop will check the condition that i runs from 0 to 2.
 This for loop will check the condition that j runs from 0 to 3.",http://stackoverflow.com/questions/28671723/c-how-to-add-elements-in-a-column-of-a-2d-array,R,02:13-02:28
,,"Here we have declared variables i and j.
 Then we have declared num1 with 3 rows and 4 columns.
 And num2, again with 3 rows and 4 columns.
 num1 and num2 are 2 dimensional arrays.
 Here, we take elements of the matrix num1 as input from the user.
 The elements are stored row-wise.
 We have considered i for rows and j for columns.
 This for loop will check the condition that i runs from 0 to 2.
 This for loop will check the condition that j runs from 0 to 3.
 Similarly, here we take elements of the matrix num2 as input from the user.
 Here we display the matrix num1.
 Here percent 3d is used to align the matrix on the terminal.
 Now, here we display the matrix num2.
 Then we add the num1 matrix and the num2 matrix and display the result.
 This is our return statement.",http://stackoverflow.com/questions/40947629/how-to-increment-each-element-of-2-dimensional-array-by-2,R,01:49-02:59
,,"Now, let us see how to declare 2 dimensional array.
 The Syntax for this is:
 data-type ,array name, row and column.",http://stackoverflow.com/questions/9446707/correct-way-of-passing-2-dimensional-array-into-a-function,SR,01:01-01:07
,,"The elements are stored row-wise.
 We have considered i for rows and j for columns.
 This for loop will check the condition that i runs from 0 to 2.
 This for loop will check the condition that j runs from 0 to 3.",http://stackoverflow.com/questions/39796524/inserting-2d-elements-into-a-static-2d-array-in-c,SR,02:13-02:28
,Strings,"Let me tell you how to declare a string.
 The syntax for this is
 char, name of string and size.
 char is the data type, name of the string is the string name, and we can give the size here.",http://stackoverflow.com/questions/8732325/how-to-declare-strings-in-c,R,00:49-00:59
,,"Let me tell you how to declare a string.
 The syntax for this is
 char, name of string and size.
 char is the data type, name of the string is the string name, and we can give the size here.",http://stackoverflow.com/questions/14467200/c-string-declaration,R,00:49-00:59
,,"Let me tell you how to declare a string.
 The syntax for this is
 char, name of string and size.
 char is the data type, name of the string is the string name, and we can give the size here",http://stackoverflow.com/questions/27644383/understanding-two-ways-of-declaring-a-c-string,R,00:49-00:59
,,"Let me tell you how to declare a string.
 The syntax for this is
 char, name of string and size.
 char is the data type, name of the string is the string name, and we can give the size her",http://stackoverflow.com/questions/19542170/string-array-declaration-in-c,SR,00:49-00:59
,,"Now we are going to discuss how to initialize the string.
 The syntax for this is,
 char var_name[size] = “string”;",http://stackoverflow.com/questions/4083239/proper-way-to-initialize-a-string-in-c,R,03:10-03:16
,,"Now we are going to discuss how to initialize the string.
 The syntax for this is,
 char var_name[size] = “string”;",http://stackoverflow.com/questions/4142745/initialize-a-string-in-c-to-empty-string,R,03:10-03:16
,,"Suppose, here I will type int in place of char.
 Now, click on Save .
 Let us see what happens.
 Come back to our terminal.
 Let me clear the prompt.
 Compile as before.
 We see an error.
 Wide character array initialized from non-wide string .
 format %s expects argument of type 'char' but argument 2 has type 'int' .",http://stackoverflow.com/questions/16803479/error-wide-character-array-initialized-from-incompatible-wide-string,SR,06:02-06:24
,,"Suppose, here I will type int in place of char.
 Now, click on Save .
 Let us see what happens.
 Come back to our terminal.
 Let me clear the prompt.
 Compile as before.
 We see an error.
 Wide character array initialized from non-wide string .
 format %s expects argument of type 'char' but argument 2 has type 'int' .",http://stackoverflow.com/questions/14536078/int-array-initialized-from-non-wide-string-when-trying-to-make-tchar,SR,06:02-06:24
,,"Suppose, here I will type int in place of char.
 Now, click on Save .
 Let us see what happens.
 Come back to our terminal.
 Let me clear the prompt.
 Compile as before.
 We see an error.
 Wide character array initialized from non-wide string .
 format %s expects argument of type 'char' but argument 2 has type 'int' .",http://stackoverflow.com/questions/10732010/format-s-expects-argument-of-type-char,R,06:02-06:24
,,"Suppose, here I will type int in place of char.
 Now, click on Save .
 Let us see what happens.
 Come back to our terminal.
 Let me clear the prompt.
 Compile as before.
 We see an error.
 Wide character array initialized from non-wide string .
 format %s expects argument of type 'char' but argument 2 has type 'int' .",http://stackoverflow.com/questions/16570716/c-warning-format-s-expects-type-char-but-argument-2-has-type-char,R,06:02-06:24
,,"Suppose, here I will type int in place of char.
 Now, click on Save .
 Let us see what happens.
 Come back to our terminal.
 Let me clear the prompt.
 Compile as before.
 We see an error.
 Wide character array initialized from non-wide string .
 format %s expects argument of type 'char' but argument 2 has type 'int' .",http://stackoverflow.com/questions/19439525/format-s-expects-argument-of-type-char-but-argument-2-has-type-char,R,06:02-06:24
,,"Suppose, here I will type int in place of char.
 Now, click on Save .
 Let us see what happens.
 Come back to our terminal.
 Let me clear the prompt.
 Compile as before.
 We see an error.
 Wide character array initialized from non-wide string .
 format %s expects argument of type 'char' but argument 2 has type 'int' .",http://stackoverflow.com/questions/30633410/c-format-s-expects-argument-of-type-char-in-funny-strings-program,R,06:02-06:24
,,"And will declare a string variable.
 Type string space strname and a semicolon.",http://stackoverflow.com/questions/10218714/c-string-declaring,R,07:50-07:53
,,"Delete the scanf statement and type getline opening bracket closing bracket, within the brackets type (cin, strname) .
 At the end, type a semicolon.
 Now again, replace the printf statement with the cout statement.
 Delete the format specifier and \n .
 Now delete the comma.
 Type two opening angle brackets, delete the bracket here.
 Type two opening angle brackets and within the double quotes type \n .
  And click on Save.
 Here we have declared a string variable 'strname' .
 Since we do not use the format specifier in C++, the compiler should know that 'strname' is a string variable.
 Here we use getline to extract the characters from the input sequence.
 It stores them as a string.",http://stackoverflow.com/questions/18786575/using-getline-in-c,SR,08:11-09:18
,,"Delete the scanf statement and type getline opening bracket closing bracket, within the brackets type (cin, strname) .
 At the end, type a semicolon.
 Now again, replace the printf statement with the cout statement.
 Delete the format specifier and \n .
 Now delete the comma.
 Type two opening angle brackets, delete the bracket here.
 Type two opening angle brackets and within the double quotes type \n .
  And click on Save.
 Here we have declared a string variable 'strname' .
 Since we do not use the format specifier in C++, the compiler should know that 'strname' is a string variable.
 Here we use getline to extract the characters from the input sequence.
 It stores them as a string.",http://stackoverflow.com/questions/1744665/need-help-with-getline,R,08:11-09:18
,,"Delete the scanf statement and type getline opening bracket closing bracket, within the brackets type (cin, strname) .
 At the end, type a semicolon.
 Now again, replace the printf statement with the cout statement.
 Delete the format specifier and \n .
 Now delete the comma.
 Type two opening angle brackets, delete the bracket here.
 Type two opening angle brackets and within the double quotes type \n .
  And click on Save.
 Here we have declared a string variable 'strname' .
 Since we do not use the format specifier in C++, the compiler should know that 'strname' is a string variable.
 Here we use getline to extract the characters from the input sequence.
 It stores them as a string.",http://stackoverflow.com/questions/20739453/using-getline-with-file-input-in-c,SR,08:11-09:18
,String library functions,"Delete the scanf statement and type getline opening bracket closing bracket, within the brackets type (cin, strname) .
 At the end, type a semicolon.
 Now again, replace the printf statement with the cout statement.
 Delete the format specifier and \n .
 Now delete the comma.
 Type two opening angle brackets, delete the bracket here.
 Type two opening angle brackets and within the double quotes type \n .
  And click on Save.
 Here we have declared a string variable 'strname' .
 Since we do not use the format specifier in C++, the compiler should know that 'strname' is a string variable.
 Here we use getline to extract the characters from the input sequence.
 It stores them as a string.",http://stackoverflow.com/questions/5739937/using-getlinecin-s-after-cin,SR,08:11-09:18
,,"Let us start with an introduction to string library functions.
 These are the group of functions implementing operations on strings.
 Various operations such as copying, concatenation, searching etc are supported.",http://stackoverflow.com/questions/8465006/how-to-concatenate-2-strings-in-c,SR,00:27-00:36
,,"In this, we will compare two strings. Here we have character variables as str1 and str2 .
 str1 stores the value as 'Ice' and str2 stores the value as 'Cream'.
 Here we have integer variables as i and j.
 In this we will compare the string using the strcmp function.",http://stackoverflow.com/questions/14232990/comparing-two-strings-in-c,R,04:42-05:03
,,"In this, we will compare two strings. Here we have character variables as str1 and str2 .
 str1 stores the value as 'Ice' and str2 stores the value as 'Cream'.
 Here we have integer variables as i and j.
 In this we will compare the string using the strcmp function.",http://stackoverflow.com/questions/17026372/c-comparing-two-characters,R,04:42-05:03
,,"In this, we will compare two strings. Here we have character variables as str1 and str2 .
 str1 stores the value as 'Ice' and str2 stores the value as 'Cream'.
 Here we have integer variables as i and j.
 In this we will compare the string using the strcmp function.",http://stackoverflow.com/questions/22593253/how-to-compare-more-than-2-strings-in-c,R,04:42-05:03
,,"In this, we will compare two strings. Here we have character variables as str1 and str2 .
 str1 stores the value as 'Ice' and str2 stores the value as 'Cream'.
 Here we have integer variables as i and j.
 In this we will compare the string using the strcmp function.",http://stackoverflow.com/questions/42537038/simple-ways-to-compare-two-strings-without-strcmp-in-c,SR,04:42-05:03
,,"Here we have the string copy function.
 Note that our file name is strcpy.c .
 In this, we will copy the source string into the target string.
 Here we have 'Ice' in the source string, it will be copied to the target string.
 This is our strcpy function
 Here we will print the source string and the target string.",http://stackoverflow.com/questions/7523022/c-string-copy-with-strncpy,R,03:40-04:02
,,"Here we have the string copy function.
 Note that our file name is strcpy.c .
 In this, we will copy the source string into the target string.
 Here we have 'Ice' in the source string, it will be copied to the target string.
 This is our strcpy function
 Here we will print the source string and the target string.",http://stackoverflow.com/questions/16540270/copying-a-string-to-another-string-in-c,R,03:40-04:02
,,"Here we have the string copy function.
 Note that our file name is strcpy.c .
 In this, we will copy the source string into the target string.
 Here we have 'Ice' in the source string, it will be copied to the target string.
 This is our strcpy function
 Here we will print the source string and the target string.",http://stackoverflow.com/questions/9593798/proper-way-to-copy-c-strings,R,03:40-04:02
,,"Here we have the string copy function.
 Note that our file name is strcpy.c .
 In this, we will copy the source string into the target string.
 Here we have 'Ice' in the source string, it will be copied to the target string.
 This is our strcpy function
 Here we will print the source string and the target string.",http://stackoverflow.com/questions/9210528/split-string-with-delimiters-in-c,SR,03:40-04:02
,,"Here we have the string copy function.
 Note that our file name is strcpy.c .
 In this, we will copy the source string into the target string.
 Here we have 'Ice' in the source string, it will be copied to the target string.
 This is our strcpy function
 Here we will print the source string and the target string.",http://stackoverflow.com/questions/19937278/string-copy-in-c-with-and-without-pointer,SR,03:40-04:02
,,"Here we have the string copy function.
 Note that our file name is strcpy.c .
 In this, we will copy the source string into the target string.
 Here we have 'Ice' in the source string, it will be copied to the target string.
 This is our strcpy function
 Here we will print the source string and the target string.",http://stackoverflow.com/questions/12678819/how-to-copy-2-strings-of-string-data-type,R,03:40-04:02
,,"In this, we will find the length of the string.
 These are the header files as stdio.h and string.h.
 This is our main() function.
 Here we have a character variable 'arr'.
 It stores a value 'Ashwini' .
 Then we have an integer variable len1 .
 Here we will find the length of the string using strlen function.
 The result will be stored in 'len1'.
 Then we print the string and the length of the string.",http://stackoverflow.com/questions/2070566/how-to-calculate-the-length-of-a-string-in-c-efficiently,SR,02:20-02:52
,,"In this, we will find the length of the string.
 These are the header files as stdio.h and string.h.
 This is our main() function.
 Here we have a character variable 'arr'.
 It stores a value 'Ashwini' .
 Then we have an integer variable len1 .
 Here we will find the length of the string using strlen function.
 The result will be stored in 'len1'.
 Then we print the string and the length of the string.",http://stackoverflow.com/questions/15000544/how-to-get-the-string-size-in-bytes,R,02:20-02:52
,,"In this, we will find the length of the string.
 These are the header files as stdio.h and string.h.
 This is our main() function.
 Here we have a character variable 'arr'.
 It stores a value 'Ashwini' .
 Then we have an integer variable len1 .
 Here we will find the length of the string using strlen function.
 The result will be stored in 'len1'.
 Then we print the string and the length of the string.",http://stackoverflow.com/questions/8831323/find-length-of-string-in-c-without-using-strlen,SR,02:20-02:52
,,"In this, we will find the length of the string.
 These are the header files as stdio.h and string.h.
 This is our main() function.
 Here we have a character variable 'arr'.
 It stores a value 'Ashwini' .
 Then we have an integer variable len1 .
 Here we will find the length of the string using strlen function.
 The result will be stored in 'len1'.
 Then we print the string and the length of the string.",http://stackoverflow.com/questions/9937181/sizeof-vs-strlen,R,02:20-02:52
,,"In this, we will find the length of the string.
 These are the header files as stdio.h and string.h.
 This is our main() function.
 Here we have a character variable 'arr'.
 It stores a value 'Ashwini' .
 Then we have an integer variable len1 .
 Here we will find the length of the string using strlen function.
 The result will be stored in 'len1'.
 Then we print the string and the length of the string.",http://stackoverflow.com/questions/2701876/quick-strlen-question,R,02:20-02:52
,,"In this, we will find the length of the string.
 These are the header files as stdio.h and string.h.
 This is our main() function.
 Here we have a character variable 'arr'.
 It stores a value 'Ashwini' .
 Then we have an integer variable len1 .
 Here we will find the length of the string using strlen function.
 The result will be stored in 'len1'.
 Then we print the string and the length of the string.",http://stackoverflow.com/questions/33587981/how-to-create-array-of-fixed-length-strings-in-c,SR,02:20-02:52
,,"In this, we will find the length of the string.
 These are the header files as stdio.h and string.h.
 This is our main() function.
 Here we have a character variable 'arr'.
 It stores a value 'Ashwini' .
 Then we have an integer variable len1 .
 Here we will find the length of the string using strlen function.
 The result will be stored in 'len1'.
 Then we print the string and the length of the string.",http://stackoverflow.com/questions/905355/c-string-length,R,02:20-02:52
,,"In this, we will find the length of the string.
 These are the header files as stdio.h and string.h.
 This is our main() function.
 Here we have a character variable 'arr'.
 It stores a value 'Ashwini' .
 Then we have an integer variable len1 .
 Here we will find the length of the string using strlen function.
 The result will be stored in 'len1'.
 Then we print the string and the length of the string.",http://stackoverflow.com/questions/42519321/sort-strings-by-length-in-c,SR,02:20-02:52
,,"In this, we will find the length of the string.
 These are the header files as stdio.h and string.h.
 This is our main() function.
 Here we have a character variable 'arr'.
 It stores a value 'Ashwini' .
 Then we have an integer variable len1 .
 Here we will find the length of the string using strlen function.
 The result will be stored in 'len1'.
 Then we print the string and the length of the string.",http://stackoverflow.com/questions/15161774/how-to-create-an-array-of-strings-in-c,SR,02:20-02:52
,,"In this, we will find the length of the string.
 These are the header files as stdio.h and string.h.
 This is our main() function.
 Here we have a character variable 'arr'.
 It stores a value 'Ashwini' .
 Then we have an integer variable len1 .
 Here we will find the length of the string using strlen function.
 The result will be stored in 'len1'.
 Then we print the string and the length of the string.",http://stackoverflow.com/questions/1088622/how-do-i-create-an-array-of-strings-in-c,SR,02:20-02:52
,Working with structures,"Now we have declared a structure variable stud, stud is the variable of type student, it is used to access and modify the structure members.
Here we have modified the members
by assigning them values as 75, 70 and 65.",http://stackoverflow.com/questions/330793/how-to-initialize-a-struct-in-accordance-with-c-programming-language-standards,SR,
,,"Structure is used to group different data into one object.
It is called as compound data-type","http://stackoverflow.com/questions/2748995/c-struct-memory-layout
",SR,
,,"Now we will see the syntax to declare a structure.
Here, the keyword struct tells the compiler that a structure is declared.
strcut_name is the name of the structure.",http://stackoverflow.com/questions/4698600/whats-the-syntactically-proper-way-to-declare-a-c-struct,R,
,,"Now we will see how to declare a structure variable.
The syntax for this is:
struct struct_name and struct_var;
struct_var is the variable of type struc_name.",http://stackoverflow.com/questions/17250480/c-declaring-int-array-inside-struct,SR,
,,Structure declaration in C++ is same as in C.,http://stackoverflow.com/questions/42610441,IR,
,,"Now we will see the syntax to declare a structure.
Here, the keyword struct tells the compiler that a structure is declared.
strcut_name is the name of the structure.
eg. struct employee;
You can give any name.
Now we will see how to declare a structure variable.
The syntax for this is:
struct struct_name and struct_var;
struct_var is the variable of type struc_name.",http://stackoverflow.com/questions/26188265/c-declare-the-struct-before-definition,R,
,,"Now we will see how to declare a structure variable.
The syntax for this is:
struct struct_name and struct_var;",http://stackoverflow.com/questions/32577808/how-to-create-a-new-instance-of-a-struct-in-c,R,
,,"The syntax for this is:
struct struct_name and struct_var;
struct_var is the variable of type struc_name.",http://stackoverflow.com/questions/10468128/how-do-you-make-an-array-of-structs-in-c,R,
,,Variables defined under the structure are called as members of the structure. ,http://stackoverflow.com/questions/42608576,IR,
,,Variables defined under the structure are called as members of the structure. ,http://stackoverflow.com/questions/42602541,IR,
,,"Now we will see how to declare a structure variable.
The syntax for this is:
struct struct_name and struct_var;
",http://stackoverflow.com/questions/228684/how-to-declare-a-structure-in-a-header-that-is-to-be-used-by-multiple-files-in-c,SR,
,,"Now we will see how to declare a structure variable.
The syntax for this is:
struct struct_name and struct_var;
http://stackoverflow.com/questions/32577808/how-to-create-a-new-instance-of-a-struct-in-c",http://stackoverflow.com/questions/31380268/where-to-declare-structures-inside-main-or-outside-main,R,
,,Structure declaration in C++ is same as in C.,http://stackoverflow.com/questions/9090098/how-to-define-a-struct-in-c,R,
,Understanding pointers,"In the 'printf' statement, ampersand is used for retrieving memory address of the variable.
So, ampersand num (&num) will give the memory address of num. ",http://stackoverflow.com/questions/10187510/understanding-pointers-in-c,R,"1:20,1:28"
,,"And here asterisk ptr will give the value at the address.
So, using asterisk will not give the memory address.
Instead it will give the value. ",http://stackoverflow.com/questions/4955198/what-does-dereferencing-a-pointer-mean,R,"1:54,1:59,2:03"
,,"In the 'printf' statement, ampersand is used for retrieving memory address of the variable.
So, ampersand num (&num) will give the memory address of num. 
And here asterisk ptr will give the value at the address.
So, using asterisk will not give the memory address.
Instead it will give the value. ",http://stackoverflow.com/questions/2094666/pointers-in-c-when-to-use-the-ampersand-and-the-asterisk,R,"1:20,1:28,1:54,1:59,2:03"
,,"Pointers point to the locations in memory.
Pointers store the memory address.
It also gives value stored at that address. ",http://stackoverflow.com/questions/21604946/pointer-to-pointer-clarification,R,"0:34,0:38,0:41"
,,sizeof() function will give the size of ptr.,http://stackoverflow.com/questions/6751749/size-of-a-pointer,R,1:45
,,sizeof() function will give the size of ptr.,http://stackoverflow.com/questions/399003/is-the-sizeofsome-pointer-always-equal-to-four,R,1:45
,,sizeof() function will give the size of ptr.Then the size of pointer is 8 bytes.,http://stackoverflow.com/questions/23185096/what-is-the-size-of-a-pointer-what-exactly-does-it-depend-on,SR,"1:45,2:53"
,,"Pointers point to the locations in memory.
Pointers store the memory address.
It also gives value stored at that address.",http://stackoverflow.com/questions/15151377/what-exactly-is-a-c-pointer-if-not-a-memory-address,R,"00:38,00:41"
,,"Pointers point to the locations in memory.
Pointers store the memory address.
It also gives value stored at that address.",http://stackoverflow.com/questions/57483/what-are-the-differences-between-a-pointer-variable-and-a-reference-variable-in,R,"00:38,00:41"
,,"Pointers point to the locations in memory.
Pointers store the memory address.
It also gives value stored at that address.",http://stackoverflow.com/questions/897366/how-do-pointer-to-pointers-work-in-c,SR,"00:38,00:41"
,,"Pointers point to the locations in memory.
Pointers store the memory address.
It also gives value stored at that address.",http://stackoverflow.com/questions/42605576,IR,"00:38,00:41"
,,Pointers point to the locations in memory.And here asterisk ptr will give the value at the address.,http://stackoverflow.com/questions/5580761/why-use-double-pointer-or-why-use-pointers-to-pointers,SR,"00:38,1:54"
,,"Let us start with an introduction to pointers.
Pointers point to the locations in memory.
Pointers store the memory address.
It also gives value stored at that address.
Now, let us see an example on pointers.",http://stackoverflow.com/questions/42601711,IR,"00:31,00:34,00:38,00:41,00:45"
,,"Pointers point to the locations in memory.
Pointers store the memory address.",http://stackoverflow.com/questions/840501/how-do-function-pointers-in-c-work,SR,"00:34,00:38"
,,"Pointers point to the locations in memory.
Pointers store the memory address.",http://stackoverflow.com/questions/42599561,IR,"00:34,00:38"
,,"We see that the num address and ptr value is same
where as memory address of num and ptr are different.
Then the size of pointer is 8 bytes.",http://stackoverflow.com/questions/42599101,IR,"2:42,2:48,2:53"
,,"Let us start with an introduction to pointers.Now, let us see an example on pointers.",http://stackoverflow.com/questions/42586391,IR,"00:31,00:45"
,,sizeof() function will give the size of ptr.,http://stackoverflow.com/questions/492384/how-to-find-the-sizeof-a-pointer-pointing-to-an-array,SR,1:45
,,"Pointers point to the locations in memory.
Pointers store the memory address.
It also gives value stored at that address. ",http://stackoverflow.com/questions/42597920,IR,"0:34,0:38,0:41"
,,"Asterisk sign is used to declare a pointer.So, ampersand num (&num) will give the memory address of num.",http://stackoverflow.com/questions/42596881,IR,"1:12,1:28"
,,"Pointers store the memory address.
It also gives value stored at that address.",http://stackoverflow.com/questions/42594802,IR,"00:38,00:41"
,,"So, ampersand num (&num) will give the memory address of num. 
And here asterisk ptr will give the value at the address.
So, using asterisk will not give the memory address.
Instead it will give the value. ",http://stackoverflow.com/questions/31231376/why-is-x0-x00-x000,SR,"1:28,1:54,1:59,2:03"
,,"So, ampersand num (&num) will give the memory address of num. 
And here asterisk ptr will give the value at the address.
So, using asterisk will not give the memory address.
Instead it will give the value. ",http://stackoverflow.com/questions/42594237,IR,"1:28,1:54,1:59,2:03"
,,"Pointers point to the locations in memory.
Pointers store the memory address.",http://stackoverflow.com/questions/42594488,IR,"00:34,00:38"
,Function call,"Let us start with the introduction to function call by value.
It is a method of passing arguments to the function.
When we pass a variable by value, it makes a copy of the variable
before passing to the function.
Changes made to the arguments, inside the function, will remain in the function.
It will not be affected outside the function.It is another method of passing arguments to the function.
This method copies the address of the argument instead of the value.
Changes made to the arguments, inside a function, can affect them outside.                                                                                ",http://stackoverflow.com/questions/2278700/difference-between-call-by-reference-and-call-by-value,R,"00:31,00:35,00:40,00:45,00:48,00:54,2:29,2:33,2:39"
,,"When we pass a variable by value, it makes a copy of the variable
before passing to the function.This method copies the address of the argument instead of the value.",http://stackoverflow.com/questions/21165114/call-by-value-or-call-by-reference,R,"00:40,00:45,2:33"
,,"When we pass a variable by value, it makes a copy of the variable
before passing to the function.
Changes made to the arguments, inside the function, will remain in the function.
It will not be affected outside the function.",http://stackoverflow.com/questions/41778001/global-variable-as-an-argument-of-function-call-in-c,R,"00:40,00:45,00:48,00:54"
,,"When we pass a variable by value, it makes a copy of the variable
before passing to the function.
This method copies the address of the argument instead of the value.",http://stackoverflow.com/questions/161788/are-there-any-downsides-to-passing-structs-by-value-in-c-rather-than-passing-a,R,"00:40,00:45,2:33"
,,"It is a method of passing arguments to the function
It is another method of passing arguments to the function.
This method copies the address of the argument instead of the value.",http://stackoverflow.com/questions/21238896/call-by-value-vs-call-by-reference-revisited,SR,"00:35,2:29,2:33"
,,"Now we will see 'function call by reference'.
Let us go back to our slides.
It is another method of passing arguments to the function.
This method copies the address of the argument instead of the value.
Changes made to the arguments, inside a function, can affect them outside.
In this we need to declare the arguments as pointer type.",http://stackoverflow.com/questions/37136552/meaning-of-pass-by-reference-in-c-and-c,R,"02:23,02:26,02:29,02:33,02:39,02:45"
,,"Let us start with the introduction to function call by value.
It is a method of passing arguments to the function.
Now we will see 'function call by reference'.
It is another method of passing arguments to the function.",http://stackoverflow.com/questions/42594661,IR,"00:31,00:35,2:23,2:29"
,,"Changes made to the arguments, inside the function, will remain in the function.
It will not be affected outside the function.
Changes made to the arguments, inside a function, can affect them outside.
In this we need to declare the arguments as pointer type.",http://stackoverflow.com/questions/15823903/call-by-reference-value-and-name,R,"00:48,0054,2:39,2:45"
,,"Let us start with the introduction to function call by value.
It is a method of passing arguments to the function.
Now we will see 'function call by reference'.
It is another method of passing arguments to the function.",http://stackoverflow.com/questions/22734051/c-string-function-calls-pass-by-value-or-reference,R,"00:31,00:35,2:23,2:29"
,,"In this tutorial, we will learn about type of function calls namely-
call by value
call by reference.",http://stackoverflow.com/questions/42591979,IR,"00:07,00:13,00:14"
,,And this is our return statement.,http://stackoverflow.com/questions/42588102,IR,"1:49,4:10"
,,Now we will see 'function call by reference'.,http://stackoverflow.com/questions/33622787/are-pointers-considered-a-method-of-calling-by-reference-in-c,SR,2:23
,,"Let us start with the introduction to function call by value.
It is a method of passing arguments to the function.
Now we will see 'function call by reference'.
It is another method of passing arguments to the function.",http://stackoverflow.com/questions/42587305,IR,"00:31,00:35,2:23,2:29"
,,"Let us start with the introduction to function call by value.
It is a method of passing arguments to the function.
Now we will see 'function call by reference'.
It is another method of passing arguments to the function.",http://stackoverflow.com/questions/42591999,IR,"00:31,00:35,2:23,2:29"
,,"In this we need to declare the arguments as pointer type.
You can see that the arguments passed in the function are pointer type.",http://stackoverflow.com/questions/2229498/passing-by-reference-in-c,R,"02:45,03:15"
,,"In this tutorial, we will learn about type of function calls namely-
call by value
call by reference.",http://stackoverflow.com/questions/42589836,IR,"00:07,00:13,00:14"
,,"In this tutorial, we will learn about type of function calls namely-
call by value
call by reference.",http://stackoverflow.com/questions/42588449,IR,"00:07,00:13,00:14"
,,"Changes made to the arguments, inside the function, will remain in the function.
It will not be affected outside the function.
Changes made to the arguments, inside a function, can affect them outside.
In this we need to declare the arguments as pointer type.",http://stackoverflow.com/questions/42588002,IR,"00:48,0054,2:39,2:45"
,File handling in C,"Let us see the types of modes :
""w"" - creates file for read and write.
""r"" – opens file for reading.
""a"" – writing at the end of the file.",http://stackoverflow.com/questions/16316823/confusion-about-different-file-modes,R,"01:59,02:02,02:06,02:09"
,,,http://stackoverflow.com/questions/17003696/difference-between-file-open-modes-in-c,R,
,,,http://stackoverflow.com/questions/3645123/opening-a-file-in-a-mode,SR,
,,,http://stackoverflow.com/questions/42581873,IR,
,,,http://stackoverflow.com/questions/19429138/append-to-the-end-of-a-file-in-c,SR,
,,,http://stackoverflow.com/questions/5787867/file-read-write-to-same-file,SR,
,,,http://stackoverflow.com/questions/21113919/difference-between-r-and-w-in-fopen,R,
,,,http://stackoverflow.com/questions/42567522,IR,
,,,http://stackoverflow.com/questions/42577478,IR,
,,"The FILE variable is defined under the header stdio.h.
*fp is a pointer to the FILE variable.
It will store all the information about the file ,
like its name, status and current information.",http://stackoverflow.com/questions/42573996,IR,"01:12,01:19,01:22,01:26"
,,,http://stackoverflow.com/questions/42614379,IR,
,,,http://stackoverflow.com/questions/15883743/read-from-a-file-and-store-it-in-a-variable-c,SR,
,,,http://stackoverflow.com/questions/32049884/file-pointer-in-c,SR,
,,,http://stackoverflow.com/questions/22823926/how-to-call-a-file-pointer-in-a-function,SR,
,,,http://stackoverflow.com/questions/22186626/file-pointer-in-c-how-it-works,R,
,,,http://stackoverflow.com/questions/42604180,IR,
